class_id,precision,recall,f1,accuracy,true_positive,false_positive,false_negative
843,0.5,1.0,0.6666666666666666,0.9996485061511423,1,1,0
844,0.0,0.0,0.0,0.9996485061511423,0,1,0
845,0.0,0.0,0.0,1.0,0,0,0
846,0.0,0.0,0.0,1.0,0,0,0
847,0.0,0.0,0.0,0.9992970123022847,0,1,1
848,0.5,1.0,0.6666666666666666,0.9996485061511423,1,1,0
849,0.0,0.0,0.0,0.9996485061511423,0,1,0
850,0.0,0.0,0.0,1.0,0,0,0
851,0.0,0.0,0.0,1.0,0,0,0
852,0.0,0.0,0.0,1.0,0,0,0
853,0.0,0.0,0.0,1.0,0,0,0
854,0.0,0.0,0.0,0.9996485061511423,0,1,0
855,0.0,0.0,0.0,1.0,0,0,0
856,0.0,0.0,0.0,1.0,0,0,0
857,0.0,0.0,0.0,0.9992970123022847,0,2,0
858,0.0,0.0,0.0,1.0,0,0,0
859,0.0,0.0,0.0,1.0,0,0,0
860,0.0,0.0,0.0,1.0,0,0,0
861,0.0,0.0,0.0,1.0,0,0,0
862,0.0,0.0,0.0,0.9996485061511423,0,1,0
863,1.0,1.0,1.0,1.0,1,0,0
864,0.0,0.0,0.0,0.9996485061511423,0,1,0
865,1.0,1.0,1.0,1.0,1,0,0
866,0.0,0.0,0.0,1.0,0,0,0
867,0.0,0.0,0.0,1.0,0,0,0
868,0.5,1.0,0.6666666666666666,0.9996485061511423,1,1,0
869,0.0,0.0,0.0,0.9996485061511423,0,1,0
870,0.0,0.0,0.0,1.0,0,0,0
871,1.0,1.0,1.0,1.0,1,0,0
872,0.0,0.0,0.0,1.0,0,0,0
873,0.0,0.0,0.0,1.0,0,0,0
874,0.0,0.0,0.0,1.0,0,0,0
875,0.0,0.0,0.0,1.0,0,0,0
876,0.0,0.0,0.0,0.9996485061511423,0,0,1
877,0.0,0.0,0.0,1.0,0,0,0
878,0.0,0.0,0.0,1.0,0,0,0
879,0.0,0.0,0.0,0.9996485061511423,0,1,0
880,0.0,0.0,0.0,0.9996485061511423,0,0,1
881,0.0,0.0,0.0,0.9996485061511423,0,0,1
882,1.0,1.0,1.0,1.0,1,0,0
883,0.0,0.0,0.0,1.0,0,0,0
884,0.0,0.0,0.0,0.9996485061511423,0,0,1
885,0.5,1.0,0.6666666666666666,0.9996485061511423,1,1,0
886,0.0,0.0,0.0,1.0,0,0,0
887,0.0,0.0,0.0,0.9985940246045695,0,3,1
888,0.0,0.0,0.0,0.9992970123022847,0,1,1
889,0.0,0.0,0.0,1.0,0,0,0
890,0.0,0.0,0.0,0.998945518453427,0,2,1
891,0.0,0.0,0.0,0.9996485061511423,0,0,1
892,0.0,0.0,0.0,0.9996485061511423,0,0,1
893,0.0,0.0,0.0,1.0,0,0,0
894,1.0,1.0,1.0,1.0,1,0,0
895,1.0,0.5,0.6666666666666666,0.9996485061511423,1,0,1
896,0.3333333333333333,0.5,0.4,0.998945518453427,1,2,1
897,0.0,0.0,0.0,0.9992970123022847,0,1,1
